rank,provider_product_id,provider_product_row_id,title,internal_name,description,observed_price,latest_observed_price,currency,orders,gross_revenue,revenue_share_pct,cumulative_revenue_share_pct,refund_count,refund_amount,first_transaction_at,last_transaction_at,first_seen_at,last_seen_at,current_status,integrity_status,mapping_version,mapping_decision_count,current_business_context_id,current_canonical_offer_id,current_offer_step_id,current_variant_id,unresolved_alert_open,unresolved_work_item_open,candidate_class,candidate_canonical_offer,candidate_offer_step,candidate_variant,evidence_strength,operator_action
"11","GwlZL","77a24238-bd14-5d41-a41a-003d8a8f8fb4","GROWTH PARTNER","","","249","249","","425","105825","1.0275","95.8773","3","747","2026-06-13T00:05:30+00:00","2026-08-30T03:29:21+00:00","2026-08-21T03:14:57+00:00","2026-08-30T03:29:21+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"12","VJEPv","657d3650-dee6-5e0a-944f-16d80c481526","DIAMOND","","","297","297","","243","72171","0.7007","96.578","0","0","2026-07-25T00:13:20+00:00","2026-08-29T19:54:24+00:00","2026-08-23T20:28:57+00:00","2026-08-29T19:54:24+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"13","6YERV","bda38308-d341-55ab-a958-70e2d8cdcda1","MYSTERY BOX","","","247","247","","232","57304","0.5564","97.1344","0","0","2026-07-25T00:16:52+00:00","2026-08-29T21:57:55+00:00","2026-08-23T20:32:28+00:00","2026-08-29T21:57:55+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"14","4KV26","9199efe2-4f30-5bb4-8219-5dbd3872825c","Push Button System New 5","","","67","67","","542","46668","0.4531","97.5875","3","201","2026-08-12T19:58:41+00:00","2026-08-30T03:53:18+00:00","2026-08-23T05:04:11+00:00","2026-08-30T03:53:18+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"15","OJwyY","daf18681-8452-57b6-bc24-101f1aa73aef","BRONZE","","","95","95","","361","34295","0.333","97.9205","8","760","2026-06-13T00:05:59+00:00","2026-08-30T01:53:16+00:00","2026-08-23T14:51:44+00:00","2026-08-30T01:53:16+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"16","4WBRV","3efb6004-1815-56d9-aa95-b23275b105f9","SAPPHIRE","","","97","97","","282","27354","0.2656","98.1861","3","291","2026-06-13T00:06:34+00:00","2026-08-29T21:37:20+00:00","2026-08-23T04:43:26+00:00","2026-08-29T21:37:20+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"17","N7v9D","239c31bd-21b1-549a-80a1-f367f68e5548","SILVER","","","195","195","","132","25740","0.2499","98.436","0","0","2026-07-25T01:15:16+00:00","2026-08-29T23:34:29+00:00","2026-08-21T03:16:26+00:00","2026-08-29T23:34:29+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"18","0EGXL","71c691fc-b6f0-53b5-834f-a150a0dab0ea","Gold - NU2","","","297","297","","84","24948","0.2422","98.6782","0","0","2026-07-29T18:38:49+00:00","2026-08-30T02:03:29+00:00","2026-08-23T15:06:57+00:00","2026-08-30T02:03:29+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"19","ZvpxR","128b3689-ca23-544e-843d-fc0266300473","GROWTH PARTNER Discounted","","","199","199","","104","20696","0.2009","98.8792","2","398","2026-07-22T19:15:18+00:00","2026-08-28T17:44:01+00:00","2026-08-23T00:55:31+00:00","2026-08-28T17:44:01+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
"20","xz1kz","553f2fc3-5bc6-551b-b3f6-1c73b2d89bc2","Push Button System New 6","","","67","67","","151","13476","0.1308","99.01","0","0","2026-08-19T17:30:14+00:00","2026-08-30T04:12:25+00:00","2026-08-19T18:16:50+00:00","2026-08-30T04:12:25+00:00","review_required","unmapped","unmapped-v1","0","","","","","true","true","C","","","","insufficient_no_authorized_canonical_targets","Create and authorize canonical catalog target, then make one explicit reviewed decision"
